OBJECTID,MUID,SEQN,SNAM,S5ID,CMPPCT,NLAYERS,HYDGRP,SOL_ZMX,ANION_EXCL,SOL_CRK,TEXTURE,SOL_Z1,SOL_BD1,SOL_AWC1,SOL_K1,SOL_CBN1,CLAY1,SILT1,SAND1,ROCK1,SOL_ALB1,USLE_K1,SOL_EC1,SOL_Z2,SOL_BD2,SOL_AWC2,SOL_K2,SOL_CBN2,CLAY2,SILT2,SAND2,ROCK2,SOL_ALB2,USLE_K2,SOL_EC2,SOL_Z3,SOL_BD3,SOL_AWC3,SOL_K3,SOL_CBN3,CLAY3,SILT3,SAND3,ROCK3,SOL_ALB3,USLE_K3,SOL_EC3,SOL_Z4,SOL_BD4,SOL_AWC4,SOL_K4,SOL_CBN4,CLAY4,SILT4,SAND4,ROCK4,SOL_ALB4,USLE_K4,SOL_EC4,SOL_Z5,SOL_BD5,SOL_AWC5,SOL_K5,SOL_CBN5,CLAY5,SILT5,SAND5,ROCK5,SOL_ALB5,USLE_K5,SOL_EC5,SOL_Z6,SOL_BD6,SOL_AWC6,SOL_K6,SOL_CBN6,CLAY6,SILT6,SAND6,ROCK6,SOL_ALB6,USLE_K6,SOL_EC6,SOL_Z7,SOL_BD7,SOL_AWC7,SOL_K7,SOL_CBN7,CLAY7,SILT7,SAND7,ROCK7,SOL_ALB7,USLE_K7,SOL_EC7,SOL_Z8,SOL_BD8,SOL_AWC8,SOL_K8,SOL_CBN8,CLAY8,SILT8,SAND8,ROCK8,SOL_ALB8,USLE_K8,SOL_EC8,SOL_Z9,SOL_BD9,SOL_AWC9,SOL_K9,SOL_CBN9,CLAY9,SILT9,SAND9,ROCK9,SOL_ALB9,USLE_K9,SOL_EC9,SOL_Z10,SOL_BD10,SOL_AWC10,SOL_K10,SOL_CBN10,CLAY10,SILT10,SAND10,ROCK10,SOL_ALB10,USLE_K10,SOL_EC10,SOL_CAL1,SOL_CAL2,SOL_CAL3,SOL_CAL4,SOL_CAL5,SOL_CAL6,SOL_CAL7,SOL_CAL8,SOL_CAL9,SOL_CAL10,SOL_PH1,SOL_PH2,SOL_PH3,SOL_PH4,SOL_PH5,SOL_PH6,SOL_PH7,SOL_PH8,SOL_PH9,SOL_PH10
MU11909,MU11909,0.0,HWSD2_11909,0.0,100,7.0,D,2000.0,0.5,0.0,SILT_LOAM,200.0,1.690000057220459,0.16406062798705992,5.526191734876775,1.5989999771118164,19.0,50.0,31.0,7.0,0.1,0.2906451850387109,1.0,400.0,1.7799999713897705,0.1475589384819626,1.4021328494728966,0.6150000095367432,25.0,44.0,31.0,13.0,0.1,0.33563233078149596,1.0,600.0,1.809999942779541,0.14178824744840285,0.8017349945104165,0.35600000619888306,27.0,41.0,32.0,15.0,0.1,0.32880183188616896,1.0,800.0,1.809999942779541,0.13776310519426016,0.8740421741805877,0.27000001072883606,27.0,39.0,34.0,16.0,0.1,0.32029758270862946,1.0,1000.0,1.7799999713897705,0.13383968565383894,1.7195979907857175,0.20999999344348907,25.0,38.0,37.0,17.0,0.1,0.31438632672361927,1.0,1500.0,1.7699999809265137,0.13256457994081164,2.1976486414446628,0.16699999570846558,24.0,38.0,38.0,17.0,0.1,0.31385195307221925,1.0,2000.0,1.7699999809265137,0.12858910732071277,2.3900739748395385,0.13099999725818634,24.0,36.0,40.0,17.0,0.1,0.3048378105491492,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.299999237060547,0.0,0.0,0.0,6.0,6.0,6.099999904632568,6.199999809265137,6.300000190734863,6.599999904632568,6.900000095367432,0.0,0.0,0.0
MU11120,MU11120,0.0,HWSD2_11120,0.0,100,7.0,D,2000.0,0.5,0.0,LOAM,200.0,1.75,0.16628179043862293,3.600187544142454,3.2279999256134033,23.0,44.0,33.0,15.0,0.1,0.2558721607614225,1.0,400.0,1.7699999809265137,0.153016882053633,2.2905330411189295,1.7409999370574951,24.0,43.0,33.0,19.0,0.1,0.26331980730624177,1.0,600.0,1.75,0.1458063361288804,2.8147976799587178,1.0829999446868896,23.0,42.0,35.0,25.0,0.1,0.29953201934620155,1.0,800.0,1.7400000095367432,0.14238638234482864,3.318870159975002,0.7229999899864197,22.0,42.0,36.0,26.0,0.1,0.3204956949169224,2.0,1000.0,1.7400000095367432,0.13874316326894792,3.355844735597061,0.4989999830722809,22.0,41.0,37.0,28.0,0.1,0.3225274265812862,2.0,1500.0,1.7300000190734863,0.13445014284654927,4.213153548473159,0.32100000977516174,21.0,40.0,39.0,27.0,0.1,0.3198134961048971,3.0,2000.0,1.7300000190734863,0.13175875056914144,4.343161091709585,0.2280000001192093,21.0,39.0,40.0,26.0,0.1,0.3160315089646416,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.399999618530273,14.300000190734863,11.800000190734863,10.699999809265137,10.899999618530273,11.800000190734863,0.0,0.0,0.0,6.599999904632568,6.900000095367432,7.099999904632568,7.300000190734863,7.400000095367432,7.5,7.599999904632568,0.0,0.0,0.0
MU11418,MU11418,0.0,HWSD2_11418,0.0,100,7.0,D,2000.0,0.5,0.0,LOAM,200.0,1.7999999523162842,0.13844751667148258,1.773053755443906,1.8760000467300415,26.0,34.0,40.0,3.0,0.1,0.22894723108931767,0.0,400.0,1.809999942779541,0.13255662212906105,1.3829522853650262,1.4100000858306885,27.0,32.0,41.0,7.0,0.1,0.2391863600281355,0.0,600.0,1.809999942779541,0.13254699003768916,1.211422606792604,0.8539999723434448,27.0,34.0,39.0,17.0,0.1,0.2828219682080921,0.0,800.0,1.7999999523162842,0.12829632798759255,1.6127789612543588,0.597000002861023,26.0,33.0,41.0,17.0,0.1,0.28702586169690913,0.0,1000.0,1.7599999904632568,0.12162140958103765,3.5864885698663835,0.3709999918937683,23.0,32.0,45.0,17.0,0.1,0.28454743737365074,0.0,1500.0,1.7599999904632568,0.11551657747402683,3.9848694310049986,0.30000001192092896,23.0,29.0,48.0,9.0,0.1,0.27174414716532463,0.0,2000.0,1.7100000381469727,0.14456055972306145,4.806371207183445,0.699999988079071,20.0,44.0,36.0,7.0,0.1,0.3287452129442696,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.699999809265137,12.600000381469727,19.299999237060547,19.799999237060547,19.299999237060547,14.399999618530273,21.600000381469727,0.0,0.0,0.0,7.599999904632568,7.800000190734863,8.100000381469727,8.100000381469727,8.100000381469727,8.199999809265137,8.100000381469727,0.0,0.0,0.0
MU11000,MU11000,0.0,HWSD2_11000,0.0,100,7.0,D,2000.0,0.5,0.0,SILT_LOAM,200.0,1.690000057220459,0.16406062798705992,5.526191734876775,1.5989999771118164,19.0,50.0,31.0,7.0,0.1,0.2906451850387109,1.0,400.0,1.7799999713897705,0.1475589384819626,1.4021328494728966,0.6150000095367432,25.0,44.0,31.0,13.0,0.1,0.33563233078149596,1.0,600.0,1.809999942779541,0.14178824744840285,0.8017349945104165,0.35600000619888306,27.0,41.0,32.0,15.0,0.1,0.32880183188616896,1.0,800.0,1.809999942779541,0.13776310519426016,0.8740421741805877,0.27000001072883606,27.0,39.0,34.0,16.0,0.1,0.32029758270862946,1.0,1000.0,1.7799999713897705,0.13383968565383894,1.7195979907857175,0.20999999344348907,25.0,38.0,37.0,17.0,0.1,0.31438632672361927,1.0,1500.0,1.7699999809265137,0.13256457994081164,2.1976486414446628,0.16699999570846558,24.0,38.0,38.0,17.0,0.1,0.31385195307221925,1.0,2000.0,1.7699999809265137,0.12858910732071277,2.3900739748395385,0.13099999725818634,24.0,36.0,40.0,17.0,0.1,0.3048378105491492,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.299999237060547,0.0,0.0,0.0,6.0,6.0,6.099999904632568,6.199999809265137,6.300000190734863,6.599999904632568,6.900000095367432,0.0,0.0,0.0
MU11115,MU11115,0.0,HWSD2_11115,0.0,100,7.0,D,2000.0,0.5,0.0,SILTY_CLAY_LOAM,200.0,1.850000023841858,0.1541903241891157,0.4375020215401007,2.625999927520752,31.0,41.0,28.0,2.0,0.1,0.251742343187087,0.0,400.0,1.8600000143051147,0.1487844469997024,0.22788286751859635,1.8299999237060547,32.0,40.0,28.0,3.0,0.1,0.25610611284590395,0.0,600.0,1.899999976158142,0.14258064716212868,0.1,1.027999997138977,36.0,38.0,26.0,3.0,0.1,0.29853040677704856,0.0,800.0,1.899999976158142,0.14203964087440152,0.1,0.7949999570846558,36.0,38.0,26.0,4.0,0.1,0.31267591502573555,0.0,1000.0,1.899999976158142,0.14119885525094625,0.1,0.4300000071525574,36.0,38.0,26.0,5.0,0.1,0.32341827612184665,0.0,1500.0,1.899999976158142,0.1411072126234982,0.1,0.39000001549720764,36.0,38.0,26.0,5.0,0.1,0.3239672589638255,0.0,2000.0,1.7799999713897705,0.15232675401261245,1.023464348238337,0.19699999690055847,25.0,48.0,27.0,7.0,0.1,0.36026766535035376,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999618530273,10.600000381469727,11.5,15.0,0.0,0.0,0.0,6.400000095367432,6.599999904632568,6.800000190734863,7.0,6.900000095367432,7.0,7.400000095367432,0.0,0.0,0.0
MU11404,MU11404,0.0,HWSD2_11404,0.0,100,7.0,D,2000.0,0.5,0.0,LOAM,200.0,1.7899999618530273,0.16093532958615314,1.4216409758721549,2.059999942779541,26.0,46.0,28.0,5.0,0.1,0.2685802444202893,0.0,400.0,1.7999999523162842,0.15521123025746839,0.9656593323232626,1.430999994277954,27.0,45.0,28.0,5.0,0.1,0.28798715029484406,0.0,600.0,1.7899999618530273,0.1499607249677518,1.1507761206825902,0.9100000262260437,26.0,44.0,30.0,4.0,0.1,0.3227686856480785,0.0,800.0,1.7799999713897705,0.14565186087135168,1.4652592777108786,0.6069999933242798,25.0,43.0,32.0,4.0,0.1,0.3313655351781041,0.0,1000.0,1.7699999809265137,0.1438804092141133,1.8296923006298116,0.44600000977516174,24.0,43.0,33.0,5.0,0.1,0.33407000726187547,0.0,1500.0,1.7400000095367432,0.14115961182995387,3.009298560975557,0.29500001668930054,22.0,43.0,35.0,5.0,0.1,0.3342944672371453,0.0,2000.0,1.7400000095367432,0.1464103990583819,2.591541514153947,0.2019999921321869,22.0,46.0,32.0,7.0,0.1,0.3485213276477505,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999618530273,9.699999809265137,10.5,0.0,0.0,0.0,6.199999809265137,6.400000095367432,6.599999904632568,6.800000190734863,6.900000095367432,7.199999809265137,7.400000095367432,0.0,0.0,0.0
MU11540,MU11540,0.0,HWSD2_11540,0.0,100,7.0,D,2000.0,0.5,0.0,SILTY_CLAY_LOAM,200.0,1.8200000524520874,0.1807273324369855,2.19753572418848,6.569000244140625,28.0,41.0,31.0,1.0,0.1,0.24881721825312192,1.0,400.0,1.7999999523162842,0.15213296649285604,1.8314867021965993,2.8510000705718994,26.0,38.0,36.0,3.0,0.1,0.2371965885211394,1.0,600.0,1.7999999523162842,0.1408906726548587,1.4337090144258258,1.1759999990463257,26.0,38.0,36.0,3.0,0.1,0.27818341049048534,0.0,800.0,1.7999999523162842,0.13752669144554475,1.3180122501386142,0.6499999761581421,26.0,38.0,36.0,3.0,0.1,0.308278570915036,0.0,1000.0,1.7699999809265137,0.1303605557301158,2.4543595573212973,0.39100000262260437,24.0,36.0,40.0,4.0,0.1,0.30296828999984826,3.0,1500.0,1.7699999809265137,0.12807096333603385,2.540533136960545,0.328000009059906,24.0,35.0,41.0,4.0,0.1,0.29907413699472113,3.0,2000.0,1.7599999904632568,0.12304538525028158,3.4430179461770254,0.30699998140335083,23.0,33.0,44.0,6.0,0.1,0.2896226160220711,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.199999809265137,14.199999809265137,15.0,14.899999618530273,16.399999618530273,16.700000762939453,0.0,0.0,0.0,6.699999809265137,7.099999904632568,7.300000190734863,7.400000095367432,7.5,7.5,7.599999904632568,0.0,0.0,0.0
MU11003,MU11003,0.0,HWSD2_11003,0.0,100,7.0,D,2000.0,0.5,0.0,SILT_LOAM,200.0,1.7200000286102295,0.1671526675745349,3.304652786272547,1.3880000114440918,21.0,52.0,27.0,4.0,0.1,0.3123967929275745,1.0,400.0,1.809999942779541,0.15262539116448565,0.528040063975567,0.640999972820282,28.0,46.0,26.0,4.0,0.1,0.3467178516708654,1.0,600.0,1.8600000143051147,0.14426649440837247,0.1,0.3369999825954437,32.0,41.0,27.0,5.0,0.1,0.3342227135684786,1.0,800.0,1.8600000143051147,0.14388643887098554,0.1,0.24000000953674316,32.0,41.0,27.0,5.0,0.1,0.33505651466055497,1.0,1000.0,1.840000033378601,0.1395300862547009,0.28932341084162816,0.20000000298023224,30.0,39.0,31.0,7.0,0.1,0.3236208474629285,1.0,1500.0,1.809999942779541,0.1373763473582134,0.8617526948413277,0.20399999618530273,27.0,39.0,34.0,6.0,0.1,0.32072832763649406,1.0,2000.0,1.8200000524520874,0.1399297271520722,0.5876344035661328,0.21300001442432404,28.0,40.0,32.0,6.0,0.1,0.3262797127529181,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.199999809265137,16.600000381469727,19.700000762939453,26.5,0.0,0.0,0.0,5.900000095367432,6.099999904632568,6.5,6.800000190734863,7.099999904632568,7.400000095367432,7.900000095367432,0.0,0.0,0.0
MU11112,MU11112,0.0,HWSD2_11112,0.0,100,7.0,D,2000.0,0.5,0.0,LOAM,200.0,1.7899999618530273,0.16093532958615314,1.4216409758721549,2.059999942779541,26.0,46.0,28.0,5.0,0.1,0.2685802444202893,0.0,400.0,1.7999999523162842,0.15521123025746839,0.9656593323232626,1.430999994277954,27.0,45.0,28.0,5.0,0.1,0.28798715029484406,0.0,600.0,1.7899999618530273,0.1499607249677518,1.1507761206825902,0.9100000262260437,26.0,44.0,30.0,4.0,0.1,0.3227686856480785,0.0,800.0,1.7799999713897705,0.14565186087135168,1.4652592777108786,0.6069999933242798,25.0,43.0,32.0,4.0,0.1,0.3313655351781041,0.0,1000.0,1.7699999809265137,0.1438804092141133,1.8296923006298116,0.44600000977516174,24.0,43.0,33.0,5.0,0.1,0.33407000726187547,0.0,1500.0,1.7400000095367432,0.14115961182995387,3.009298560975557,0.29500001668930054,22.0,43.0,35.0,5.0,0.1,0.3342944672371453,0.0,2000.0,1.7400000095367432,0.1464103990583819,2.591541514153947,0.2019999921321869,22.0,46.0,32.0,7.0,0.1,0.3485213276477505,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999618530273,9.699999809265137,10.5,0.0,0.0,0.0,6.199999809265137,6.400000095367432,6.599999904632568,6.800000190734863,6.900000095367432,7.199999809265137,7.400000095367432,0.0,0.0,0.0
MU7001,MU7001,0.0,HWSD2_7001,0.0,100,7.0,C,2000.0,0.5,0.0,LOAM,200.0,1.35,0.1394095440002283,11.440277565105394,0.5,25.0,40.0,35.0,5.0,0.1,0.3202917721120065,0.0,400.0,1.35,0.1394095440002283,11.440277565105394,0.5,25.0,40.0,35.0,5.0,0.1,0.3202917721120065,0.0,600.0,1.35,0.1394095440002283,11.440277565105394,0.5,25.0,40.0,35.0,5.0,0.1,0.3202917721120065,0.0,800.0,1.35,0.1394095440002283,11.440277565105394,0.5,25.0,40.0,35.0,5.0,0.1,0.3202917721120065,0.0,1000.0,1.35,0.1394095440002283,11.440277565105394,0.5,25.0,40.0,35.0,5.0,0.1,0.3202917721120065,0.0,1500.0,1.35,0.1394095440002283,11.440277565105394,0.5,25.0,40.0,35.0,5.0,0.1,0.3202917721120065,0.0,2000.0,1.35,0.1394095440002283,11.440277565105394,0.5,25.0,40.0,35.0,5.0,0.1,0.3202917721120065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0
