id,lon,lat
wx001,119.9,45.7
wx002,120.0,45.7
wx003,120.1,45.7
wx004,120.2,45.7
wx005,120.3,45.7
wx006,120.4,45.7
wx007,120.5,45.7
wx008,120.6,45.7
wx009,120.7,45.7
wx010,120.8,45.7
wx011,120.9,45.7
wx012,121.0,45.7
wx013,121.1,45.7
wx014,121.2,45.7
wx015,121.3,45.7
wx016,121.4,45.7
wx017,121.5,45.7
wx018,121.6,45.7
wx019,121.7,45.7
wx020,121.8,45.7
wx021,121.9,45.7
wx022,122.0,45.7
wx023,122.1,45.7
wx024,122.2,45.7
wx025,122.3,45.7
wx026,122.4,45.7
wx027,122.5,45.7
wx028,122.6,45.7
wx029,119.9,45.8
wx030,120.0,45.8
wx031,120.1,45.8
wx032,120.2,45.8
wx033,120.3,45.8
wx034,120.4,45.8
wx035,120.5,45.8
wx036,120.6,45.8
wx037,120.7,45.8
wx038,120.8,45.8
wx039,120.9,45.8
wx040,121.0,45.8
wx041,121.1,45.8
wx042,121.2,45.8
wx043,121.3,45.8
wx044,121.4,45.8
wx045,121.5,45.8
wx046,121.6,45.8
wx047,121.7,45.8
wx048,121.8,45.8
wx049,121.9,45.8
wx050,122.0,45.8
wx051,122.1,45.8
wx052,122.2,45.8
wx053,122.3,45.8
wx054,122.4,45.8
wx055,122.5,45.8
wx056,122.6,45.8
wx057,119.9,45.9
wx058,120.0,45.9
wx059,120.1,45.9
wx060,120.2,45.9
wx061,120.3,45.9
wx062,120.4,45.9
wx063,120.5,45.9
wx064,120.6,45.9
wx065,120.7,45.9
wx066,120.8,45.9
wx067,120.9,45.9
wx068,121.0,45.9
wx069,121.1,45.9
wx070,121.2,45.9
wx071,121.3,45.9
wx072,121.4,45.9
wx073,121.5,45.9
wx074,121.6,45.9
wx075,121.7,45.9
wx076,121.8,45.9
wx077,121.9,45.9
wx078,122.0,45.9
wx079,122.1,45.9
wx080,122.2,45.9
wx081,122.3,45.9
wx082,122.4,45.9
wx083,122.5,45.9
wx084,122.6,45.9
wx085,119.9,46.0
wx086,120.0,46.0
wx087,120.1,46.0
wx088,120.2,46.0
wx089,120.3,46.0
wx090,120.4,46.0
wx091,120.5,46.0
wx092,120.6,46.0
wx093,120.7,46.0
wx094,120.8,46.0
wx095,120.9,46.0
wx096,121.0,46.0
wx097,121.1,46.0
wx098,121.2,46.0
wx099,121.3,46.0
wx100,121.4,46.0
wx101,121.5,46.0
wx102,121.6,46.0
wx103,121.7,46.0
wx104,121.8,46.0
wx105,121.9,46.0
wx106,122.0,46.0
wx107,122.1,46.0
wx108,122.2,46.0
wx109,122.3,46.0
wx110,122.4,46.0
wx111,122.5,46.0
wx112,122.6,46.0
wx113,119.9,46.1
wx114,120.0,46.1
wx115,120.1,46.1
wx116,120.2,46.1
wx117,120.3,46.1
wx118,120.4,46.1
wx119,120.5,46.1
wx120,120.6,46.1
wx121,120.7,46.1
wx122,120.8,46.1
wx123,120.9,46.1
wx124,121.0,46.1
wx125,121.1,46.1
wx126,121.2,46.1
wx127,121.3,46.1
wx128,121.4,46.1
wx129,121.5,46.1
wx130,121.6,46.1
wx131,121.7,46.1
wx132,121.8,46.1
wx133,121.9,46.1
wx134,122.0,46.1
wx135,122.1,46.1
wx136,122.2,46.1
wx137,122.3,46.1
wx138,122.4,46.1
wx139,122.5,46.1
wx140,122.6,46.1
wx141,119.9,46.2
wx142,120.0,46.2
wx143,120.1,46.2
wx144,120.2,46.2
wx145,120.3,46.2
wx146,120.4,46.2
wx147,120.5,46.2
wx148,120.6,46.2
wx149,120.7,46.2
wx150,120.8,46.2
wx151,120.9,46.2
wx152,121.0,46.2
wx153,121.1,46.2
wx154,121.2,46.2
wx155,121.3,46.2
wx156,121.4,46.2
wx157,121.5,46.2
wx158,121.6,46.2
wx159,121.7,46.2
wx160,121.8,46.2
wx161,121.9,46.2
wx162,122.0,46.2
wx163,122.1,46.2
wx164,122.2,46.2
wx165,122.3,46.2
wx166,122.4,46.2
wx167,122.5,46.2
wx168,122.6,46.2
wx169,119.9,46.3
wx170,120.0,46.3
wx171,120.1,46.3
wx172,120.2,46.3
wx173,120.3,46.3
wx174,120.4,46.3
wx175,120.5,46.3
wx176,120.6,46.3
wx177,120.7,46.3
wx178,120.8,46.3
wx179,120.9,46.3
wx180,121.0,46.3
wx181,121.1,46.3
wx182,121.2,46.3
wx183,121.3,46.3
wx184,121.4,46.3
wx185,121.5,46.3
wx186,121.6,46.3
wx187,121.7,46.3
wx188,121.8,46.3
wx189,121.9,46.3
wx190,122.0,46.3
wx191,122.1,46.3
wx192,122.2,46.3
wx193,122.3,46.3
wx194,122.4,46.3
wx195,122.5,46.3
wx196,122.6,46.3
wx197,119.9,46.4
wx198,120.0,46.4
wx199,120.1,46.4
wx200,120.2,46.4
wx201,120.3,46.4
wx202,120.4,46.4
wx203,120.5,46.4
wx204,120.6,46.4
wx205,120.7,46.4
wx206,120.8,46.4
wx207,120.9,46.4
wx208,121.0,46.4
wx209,121.1,46.4
wx210,121.2,46.4
wx211,121.3,46.4
wx212,121.4,46.4
wx213,121.5,46.4
wx214,121.6,46.4
wx215,121.7,46.4
wx216,121.8,46.4
wx217,121.9,46.4
wx218,122.0,46.4
wx219,122.1,46.4
wx220,122.2,46.4
wx221,122.3,46.4
wx222,122.4,46.4
wx223,122.5,46.4
wx224,122.6,46.4
wx225,119.9,46.5
wx226,120.0,46.5
wx227,120.1,46.5
wx228,120.2,46.5
wx229,120.3,46.5
wx230,120.4,46.5
wx231,120.5,46.5
wx232,120.6,46.5
wx233,120.7,46.5
wx234,120.8,46.5
wx235,120.9,46.5
wx236,121.0,46.5
wx237,121.1,46.5
wx238,121.2,46.5
wx239,121.3,46.5
wx240,121.4,46.5
wx241,121.5,46.5
wx242,121.6,46.5
wx243,121.7,46.5
wx244,121.8,46.5
wx245,121.9,46.5
wx246,122.0,46.5
wx247,122.1,46.5
wx248,122.2,46.5
wx249,122.3,46.5
wx250,122.4,46.5
wx251,122.5,46.5
wx252,122.6,46.5
wx253,119.9,46.6
wx254,120.0,46.6
wx255,120.1,46.6
wx256,120.2,46.6
wx257,120.3,46.6
wx258,120.4,46.6
wx259,120.5,46.6
wx260,120.6,46.6
wx261,120.7,46.6
wx262,120.8,46.6
wx263,120.9,46.6
wx264,121.0,46.6
wx265,121.1,46.6
wx266,121.2,46.6
wx267,121.3,46.6
wx268,121.4,46.6
wx269,121.5,46.6
wx270,121.6,46.6
wx271,121.7,46.6
wx272,121.8,46.6
wx273,121.9,46.6
wx274,122.0,46.6
wx275,122.1,46.6
wx276,122.2,46.6
wx277,122.3,46.6
wx278,122.4,46.6
wx279,122.5,46.6
wx280,122.6,46.6
wx281,119.9,46.7
wx282,120.0,46.7
wx283,120.1,46.7
wx284,120.2,46.7
wx285,120.3,46.7
wx286,120.4,46.7
wx287,120.5,46.7
wx288,120.6,46.7
wx289,120.7,46.7
wx290,120.8,46.7
wx291,120.9,46.7
wx292,121.0,46.7
wx293,121.1,46.7
wx294,121.2,46.7
wx295,121.3,46.7
wx296,121.4,46.7
wx297,121.5,46.7
wx298,121.6,46.7
wx299,121.7,46.7
wx300,121.8,46.7
wx301,121.9,46.7
wx302,122.0,46.7
wx303,122.1,46.7
wx304,122.2,46.7
wx305,122.3,46.7
wx306,122.4,46.7
wx307,122.5,46.7
wx308,122.6,46.7
wx309,119.9,46.8
wx310,120.0,46.8
wx311,120.1,46.8
wx312,120.2,46.8
wx313,120.3,46.8
wx314,120.4,46.8
wx315,120.5,46.8
wx316,120.6,46.8
wx317,120.7,46.8
wx318,120.8,46.8
wx319,120.9,46.8
wx320,121.0,46.8
wx321,121.1,46.8
wx322,121.2,46.8
wx323,121.3,46.8
wx324,121.4,46.8
wx325,121.5,46.8
wx326,121.6,46.8
wx327,121.7,46.8
wx328,121.8,46.8
wx329,121.9,46.8
wx330,122.0,46.8
wx331,122.1,46.8
wx332,122.2,46.8
wx333,122.3,46.8
wx334,122.4,46.8
wx335,122.5,46.8
wx336,122.6,46.8
wx337,119.9,46.9
wx338,120.0,46.9
wx339,120.1,46.9
wx340,120.2,46.9
wx341,120.3,46.9
wx342,120.4,46.9
wx343,120.5,46.9
wx344,120.6,46.9
wx345,120.7,46.9
