date,discharge
2012-01-01,0.318
2012-01-02,0.313
2012-01-03,0.308
2012-01-04,0.302
2012-01-05,0.297
2012-01-06,0.292
2012-01-07,0.286
2012-01-08,0.281
2012-01-09,0.276
2012-01-10,0.271
2012-01-11,0.265
2012-01-12,0.26
2012-01-13,0.255
2012-01-14,0.25
2012-01-15,0.245
2012-01-16,0.24
2012-01-17,0.235
2012-01-18,0.23
2012-01-19,0.225
2012-01-20,0.219
2012-01-21,0.222
2012-01-22,0.255
2012-01-23,0.291
2012-01-24,0.327
2012-01-25,0.363
2012-01-26,0.399
2012-01-27,0.435
2012-01-28,0.471
2012-01-29,0.507
2012-01-30,0.543
2012-01-31,0.573
2012-02-01,0.58
2012-02-02,0.588
2012-02-03,0.595
2012-02-04,0.602
2012-02-05,0.609
2012-02-06,0.616
2012-02-07,0.623
2012-02-08,0.63
2012-02-09,0.638
2012-02-10,0.642
2012-02-11,0.633
2012-02-12,0.623
2012-02-13,0.613
2012-02-14,0.604
2012-02-15,0.594
2012-02-16,0.584
2012-02-17,0.574
2012-02-18,0.564
2012-02-19,0.555
2012-02-20,0.546
2012-02-21,0.542
2012-02-22,0.54
2012-02-23,0.536
2012-02-24,0.532
2012-02-25,0.53
2012-02-26,0.526
2012-02-27,0.523
2012-02-28,0.52
2012-02-29,0.516
2012-03-01,0.514
2012-03-02,0.51
2012-03-03,0.505
2012-03-04,0.5
2012-03-05,0.495
2012-03-06,0.49
2012-03-07,0.485
2012-03-08,0.48
2012-03-09,0.475
2012-03-10,0.47
2012-03-11,0.464
2012-03-12,0.459
2012-03-13,0.453
2012-03-14,0.448
2012-03-15,0.442
2012-03-16,0.437
2012-03-17,0.431
2012-03-18,0.425
2012-03-19,0.42
2012-03-20,0.414
2012-03-21,0.408
2012-03-22,0.401
2012-03-23,0.395
2012-03-24,0.388
2012-03-25,0.382
2012-03-26,0.375
2012-03-27,0.368
2012-03-28,0.362
2012-03-29,0.355
2012-03-30,0.349
2012-03-31,0.348
2012-04-01,0.348
2012-04-02,0.347
2012-04-03,0.347
2012-04-04,0.351
2012-04-05,0.366
2012-04-06,0.4
2012-04-07,0.472
2012-04-08,0.557
2012-04-09,0.637
2012-04-10,0.711
2012-04-11,0.783
2012-04-12,0.864
2012-04-13,0.982
2012-04-14,1.14
2012-04-15,1.33
2012-04-16,1.55
2012-04-17,1.83
2012-04-18,2.35
2012-04-19,3.95
2012-04-20,5.75
2012-04-21,6.98
2012-04-22,6.8
2012-04-23,6.27
2012-04-24,5.58
2012-04-25,4.53
2012-04-26,3.48
2012-04-27,2.48
2012-04-28,2.05
2012-04-29,1.88
2012-04-30,1.87
2012-05-01,1.87
2012-05-02,1.88
2012-05-03,2.0
2012-05-04,2.26
2012-05-05,2.7
2012-05-06,2.2
2012-05-07,1.88
2012-05-08,1.87
2012-05-09,1.87
2012-05-10,1.87
2012-05-11,1.87
2012-05-12,1.87
2012-05-13,1.95
2012-05-14,2.14
2012-05-15,2.0
2012-05-16,2.11
2012-05-17,2.23
2012-05-18,2.23
2012-05-19,2.16
2012-05-20,2.0
