date,discharge
2012-01-01,0.0
2012-01-02,0.0
2012-01-03,0.0
2012-01-04,0.0
2012-01-05,0.0
2012-01-06,0.0
2012-01-07,0.0
2012-01-08,0.0
2012-01-09,0.0
2012-01-10,0.0
2012-01-11,0.0
2012-01-12,0.0
2012-01-13,0.0
2012-01-14,0.0
2012-01-15,0.0
2012-01-16,0.0
2012-01-17,0.0
2012-01-18,0.0
2012-01-19,0.0
2012-01-20,0.0
2012-01-21,0.0
2012-01-22,0.0
2012-01-23,0.0
2012-01-24,0.0
2012-01-25,0.0
2012-01-26,0.0
2012-01-27,0.0
2012-01-28,0.0
2012-01-29,0.0
2012-01-30,0.0
2012-01-31,0.0
2012-02-01,0.0
2012-02-02,0.0
2012-02-03,0.0
2012-02-04,0.0
2012-02-05,0.0
2012-02-06,0.0
2012-02-07,0.0
2012-02-08,0.0
2012-02-09,0.0
2012-02-10,0.0
2012-02-11,0.0
2012-02-12,0.0
2012-02-13,0.0
2012-02-14,0.0
2012-02-15,0.0
2012-02-16,0.0
2012-02-17,0.0
2012-02-18,0.0
2012-02-19,0.0
2012-02-20,0.0
2012-02-21,0.0
2012-02-22,0.0
2012-02-23,0.0
2012-02-24,0.0
2012-02-25,0.0
2012-02-26,0.0
2012-02-27,0.0
2012-02-28,0.0
2012-02-29,0.0
2012-03-01,0.0
2012-03-02,0.0
2012-03-03,0.0
2012-03-04,0.0
2012-03-05,0.0
2012-03-06,0.0
2012-03-07,0.0
2012-03-08,0.0
2012-03-09,0.0
2012-03-10,0.0
2012-03-11,0.0
2012-03-12,0.0
2012-03-13,0.0
2012-03-14,0.0
2012-03-15,0.0
2012-03-16,0.0
2012-03-17,0.0
2012-03-18,0.0
2012-03-19,0.0
2012-03-20,0.0
2012-03-21,0.0
2012-03-22,0.0
2012-03-23,0.0
2012-03-24,0.0
2012-03-25,0.0
2012-03-26,0.0
2012-03-27,0.0
2012-03-28,0.0
2012-03-29,0.0
2012-03-30,0.0
2012-03-31,0.0
2012-04-01,0.0
2012-04-02,0.0
2012-04-03,0.005
2012-04-04,0.011
2012-04-05,0.013
2012-04-06,0.016
2012-04-07,0.02
2012-04-08,0.024
2012-04-09,0.029
2012-04-10,0.036
2012-04-11,0.044
2012-04-12,0.051
2012-04-13,0.055
2012-04-14,0.059
2012-04-15,0.062
2012-04-16,0.065
2012-04-17,0.067
2012-04-18,0.07
2012-04-19,0.071
2012-04-20,0.072
2012-04-21,0.073
2012-04-22,0.075
2012-04-23,0.079
2012-04-24,0.079
2012-04-25,0.079
2012-04-26,0.079
2012-04-27,0.079
2012-04-28,0.079
2012-04-29,0.079
2012-04-30,0.078
2012-05-01,0.064
2012-05-02,0.062
2012-05-03,0.056
2012-05-04,0.048
2012-05-05,0.048
2012-05-06,0.048
2012-05-07,0.048
2012-05-08,0.048
2012-05-09,0.048
2012-05-10,0.048
2012-05-11,0.048
2012-05-12,0.048
2012-05-13,0.048
2012-05-14,0.048
2012-05-15,0.038
2012-05-16,0.047
2012-05-17,0.048
2012-05-18,0.048
2012-05-19,0.037
2012-05-20,0.036
2012-05-21,0.036
2012-05-22,0.036
2012-05-23,0.036
2012-05-24,0.032
2012-05-25,0.026
2012-05-26,0.026
2012-05-27,0.032
2012-05-28,0.207
2012-05-29,0.225
2012-05-30,0.068
2012-05-31,0.048
2012-06-01,0.048
2012-06-02,0.061
2012-06-03,0.138
2012-06-04,0.156
2012-06-05,0.154
2012-06-06,0.106
2012-06-07,0.091
2012-06-08,0.079
2012-06-09,0.079
2012-06-10,0.079
2012-06-11,0.079
2012-06-12,1.35
2012-06-13,1.72
2012-06-14,1.62
2012-06-15,3.45
2012-06-16,1.26
2012-06-17,0.926
2012-06-18,0.868
2012-06-19,0.787
2012-06-20,0.787
2012-06-21,0.655
2012-06-22,0.424
2012-06-23,0.418
2012-06-24,1.46
2012-06-25,1.95
2012-06-26,1.66
2012-06-27,1.62
2012-06-28,2.0
2012-06-29,2.21
2012-06-30,0.754
2012-07-01,0.499
2012-07-02,0.575
2012-07-03,1.43
2012-07-04,1.43
2012-07-05,1.81
2012-07-06,1.81
2012-07-07,1.5
2012-07-08,1.11
2012-07-09,1.11
2012-07-10,0.9
2012-07-11,2.26
2012-07-12,1.48
2012-07-13,1.27
2012-07-14,1.18
2012-07-15,1.14
2012-07-16,1.11
2012-07-17,1.07
2012-07-18,1.0
2012-07-19,0.934
2012-07-20,0.892
2012-07-21,2.47
2012-07-22,3.17
2012-07-23,3.02
2012-07-24,2.83
2012-07-25,2.76
2012-07-26,2.9
2012-07-27,1.4
2012-07-28,2.35
2012-07-29,11.8
2012-07-30,10.6
2012-07-31,9.61
2012-08-01,8.54
2012-08-02,7.9
2012-08-03,5.36
2012-08-04,2.58
2012-08-05,2.19
2012-08-06,1.79
2012-08-07,1.55
2012-08-08,1.36
2012-08-09,1.25
2012-08-10,1.21
2012-08-11,1.21
2012-08-12,1.18
2012-08-13,1.14
2012-08-14,1.14
2012-08-15,1.14
2012-08-16,1.36
2012-08-17,1.92
2012-08-18,1.92
2012-08-19,1.51
2012-08-20,0.926
2012-08-21,0.926
2012-08-22,0.924
2012-08-23,0.806
2012-08-24,0.665
2012-08-25,0.658
2012-08-26,0.598
2012-08-27,0.533
2012-08-28,0.533
2012-08-29,0.531
2012-08-30,0.48
2012-08-31,0.424
2012-09-01,0.418
2012-09-02,0.418
2012-09-03,0.418
2012-09-04,0.418
2012-09-05,0.418
2012-09-06,0.396
2012-09-07,0.365
2012-09-08,0.364
2012-09-09,0.322
2012-09-10,0.33
2012-09-11,0.418
2012-09-12,0.418
2012-09-13,0.418
2012-09-14,0.396
2012-09-15,0.365
2012-09-16,0.365
2012-09-17,0.364
2012-09-18,0.322
2012-09-19,0.315
2012-09-20,0.275
