date,sediment
2012-04-03,2.1
2012-04-04,4.5
2012-04-05,5.1
2012-04-06,5.8
2012-04-07,6.0
2012-04-08,6.2
2012-04-09,6.4
2012-04-10,6.4
2012-04-11,6.5
2012-04-12,6.5
2012-04-13,6.8
2012-04-14,7.1
2012-04-15,7.4
2012-04-16,7.7
2012-04-17,8.2
2012-04-18,8.5
2012-04-19,8.5
2012-04-20,8.5
2012-04-21,8.6
2012-04-22,10.1
2012-04-23,11.6
2012-04-24,11.7
2012-04-25,11.4
2012-04-26,11.1
2012-04-27,10.8
2012-04-28,10.5
2012-04-29,10.3
2012-04-30,10.1
2012-05-01,15.6
2012-05-02,16.1
2012-05-03,17.9
2012-05-04,9.4
2012-05-05,9.4
2012-05-06,9.4
2012-05-07,9.4
2012-05-08,9.3
2012-05-09,9.3
2012-05-10,9.3
2012-05-11,9.2
2012-05-12,9.0
2012-05-13,8.9
2012-05-14,8.8
2012-05-15,8.6
2012-05-16,8.5
2012-05-17,8.4
2012-05-18,8.3
2012-05-19,8.2
2012-05-20,8.0
2012-05-21,7.8
2012-05-22,7.4
2012-05-23,7.1
2012-05-24,6.8
2012-05-25,6.5
2012-05-26,6.4
2012-05-27,7.2
2012-05-28,43.5
2012-05-29,53.3
2012-05-30,52.5
2012-05-31,41.7
2012-06-01,41.7
2012-06-02,49.2
2012-06-03,50.7
2012-06-04,51.3
2012-06-05,45.5
2012-06-06,47.2
2012-06-07,44.0
2012-06-08,38.0
2012-06-09,38.0
2012-06-10,25.3
2012-06-11,25.3
2012-06-12,15500.0
2012-06-13,3600.0
2012-06-14,1590.0
2012-06-15,3970.0
2012-06-16,1100.0
2012-06-17,624.0
2012-06-18,435.0
2012-06-19,240.0
2012-06-20,155.0
2012-06-21,127.0
2012-06-22,96.7
2012-06-23,67.0
2012-06-24,1340.0
2012-06-25,944.0
2012-06-26,510.0
2012-06-27,402.0
2012-06-28,428.0
2012-06-29,436.0
2012-06-30,233.0
2012-07-01,118.0
2012-07-02,230.0
2012-07-03,2610.0
2012-07-04,384.0
2012-07-05,319.0
2012-07-06,289.0
2012-07-07,261.0
2012-07-08,474.0
2012-07-09,708.0
2012-07-10,351.0
2012-07-11,10400.0
2012-07-12,3720.0
2012-07-13,1460.0
2012-07-14,704.0
2012-07-15,655.0
2012-07-16,607.0
2012-07-17,557.0
2012-07-18,512.0
2012-07-19,463.0
2012-07-20,408.0
2012-07-21,8540.0
2012-07-22,1760.0
2012-07-23,1210.0
2012-07-24,883.0
2012-07-25,793.0
2012-07-26,648.0
2012-07-27,410.0
2012-07-28,1080.0
2012-07-29,11500.0
2012-07-30,4290.0
2012-07-31,2990.0
2012-08-01,2450.0
2012-08-02,1910.0
2012-08-03,1430.0
2012-08-04,845.0
2012-08-05,616.0
2012-08-06,516.0
2012-08-07,417.0
2012-08-08,321.0
2012-08-09,271.0
2012-08-10,241.0
2012-08-11,212.0
2012-08-12,183.0
2012-08-13,154.0
2012-08-14,124.0
2012-08-15,94.7
2012-08-16,79.4
2012-08-17,87.5
2012-08-18,77.1
2012-08-19,67.5
2012-08-20,62.6
2012-08-21,61.6
2012-08-22,59.5
2012-08-23,58.3
2012-08-24,57.1
2012-08-25,56.2
2012-08-26,55.2
2012-08-27,54.4
2012-08-28,52.5
2012-08-29,52.7
2012-08-30,50.0
2012-08-31,49.5
2012-09-01,47.8
2012-09-02,47.8
2012-09-03,47.8
2012-09-04,47.8
2012-09-05,47.8
2012-09-06,45.5
2012-09-07,46.6
2012-09-08,46.7
2012-09-09,46.6
2012-09-10,48.5
2012-09-11,51.8
2012-09-12,51.9
2012-09-13,50.2
2012-09-14,50.5
2012-09-15,49.3
2012-09-16,49.3
2012-09-17,49.5
2012-09-18,46.6
2012-09-19,47.6
2012-09-20,47.3
2012-09-21,44.4
2012-09-22,44.4
2012-09-23,40.7
2012-09-24,40.7
2012-09-25,40.7
2012-09-26,37.0
2012-09-27,38.5
2012-09-28,43.4
2012-09-29,42.2
2012-09-30,40.4
2012-10-01,38.4
2012-10-02,35.6
2012-10-03,35.6
2012-10-04,32.9
2012-10-05,32.9
2012-10-06,32.4
2012-10-07,33.1
2012-10-08,31.9
2012-10-09,31.9
2012-10-10,30.0
2012-10-11,30.0
2012-10-12,27.5
2012-10-13,23.6
2012-10-14,16.8
2012-10-15,15.9
2012-10-16,15.9
2012-10-17,15.9
2012-10-18,8.0
2012-10-19,9.7
2012-10-20,10.0
2012-10-21,10.0
2012-10-22,10.0
2012-10-23,10.0
2012-10-24,10.0
2012-10-25,4.0
2012-10-26,3.0
2012-10-27,1.7
2012-10-28,0.1
2012-10-29,0.0
2012-10-30,0.0
2012-10-31,0.0
2012-11-01,0.0
2012-11-02,0.0
2012-11-03,0.0
2012-11-04,0.0
2012-11-05,0.0
2012-11-06,0.0
2012-11-07,0.0
2012-11-08,0.0
2012-11-09,0.0
2012-11-10,0.0
2012-11-11,0.0
2012-11-12,0.0
2012-11-13,0.0
2012-11-14,0.0
2012-11-15,0.0
2012-11-16,0.0
2012-11-17,0.0
2012-11-18,0.0
2012-11-19,0.0
2012-11-20,0.0
2012-11-21,0.0
2012-11-22,0.0
2012-11-23,0.0
2012-11-24,0.0
2012-11-25,0.0
2012-11-26,0.0
2012-11-27,0.0
2012-11-29,11.0
2013-04-04,0.0
2013-04-05,0.0
2013-04-06,0.0
2013-04-07,0.0
2013-04-08,0.0
2013-04-09,0.0
2013-04-10,0.0
2013-04-11,27.8
2013-04-12,25.0
2013-04-13,21.3
2013-04-14,18.5
2013-04-15,32.3
2013-04-16,29.4
2013-04-17,41.1
2013-04-18,50.6
2013-04-19,49.4
2013-04-20,48.2
2013-04-21,47.1
2013-04-22,58.1
2013-04-23,58.1
2013-04-24,69.0
2013-04-25,69.8
2013-04-26,71.4
2013-04-27,73.2
2013-04-28,70.6
2013-04-29,104.0
2013-04-30,94.3
2013-05-01,70.1
2013-05-02,65.5
2013-05-03,61.1
2013-05-04,54.1
2013-05-05,51.0
2013-05-06,42.3
2013-05-07,35.7
2013-05-08,35.7
2013-05-09,35.7
2013-05-10,35.7
2013-05-11,35.7
2013-05-12,35.7
2013-05-13,32.8
2013-05-14,8000.0
2013-05-15,2770.0
2013-05-16,1580.0
2013-05-17,1200.0
2013-05-18,1130.0
2013-05-19,1050.0
2013-05-20,979.0
2013-05-21,902.0
2013-05-22,826.0
2013-05-23,753.0
2013-05-24,684.0
2013-05-25,526.0
2013-05-26,303.0
2013-05-27,215.0
2013-05-28,189.0
2013-05-29,158.0
2013-05-30,132.0
2013-05-31,102.0
2013-06-01,76.9
2013-06-02,48.5
2013-06-03,45.3
2013-06-04,45.2
2013-06-05,45.2
2013-06-06,45.2
2013-06-07,45.2
2013-06-08,44.7
2013-06-09,44.9
2013-06-10,44.4
2013-06-11,41.9
2013-06-12,42.1
2013-06-13,39.7
2013-06-14,38.8
2013-06-15,35.2
2013-06-16,37.9
2013-06-17,35.2
2013-06-18,36.2
2013-06-19,37.6
2013-06-20,37.3
2013-06-21,36.0
2013-06-22,36.0
2013-06-23,36.0
2013-06-24,36.0
2013-06-25,34.2
2013-06-26,195.0
