date,discharge
2012-01-01,0.977
2012-01-02,0.914
2012-01-03,0.852
2012-01-04,0.789
2012-01-05,0.726
2012-01-06,0.664
2012-01-07,0.602
2012-01-08,0.539
2012-01-09,0.477
2012-01-10,0.414
2012-01-11,0.359
2012-01-12,0.346
2012-01-13,0.34
2012-01-14,0.333
2012-01-15,0.327
2012-01-16,0.32
2012-01-17,0.314
2012-01-18,0.307
2012-01-19,0.301
2012-01-20,0.294
2012-01-21,0.287
2012-01-22,0.274
2012-01-23,0.26
2012-01-24,0.246
2012-01-25,0.232
2012-01-26,0.218
2012-01-27,0.205
2012-01-28,0.191
2012-01-29,0.177
2012-01-30,0.163
2012-01-31,0.149
2012-02-01,0.137
2012-02-02,0.141
2012-02-03,0.146
2012-02-04,0.152
2012-02-05,0.157
2012-02-06,0.163
2012-02-07,0.168
2012-02-08,0.174
2012-02-09,0.179
2012-02-10,0.185
2012-02-11,0.189
2012-02-12,0.19
2012-02-13,0.19
2012-02-14,0.19
2012-02-15,0.19
2012-02-16,0.19
2012-02-17,0.189
2012-02-18,0.189
2012-02-19,0.189
2012-02-20,0.189
2012-02-21,0.192
2012-02-22,0.213
2012-02-23,0.237
2012-02-24,0.261
2012-02-25,0.285
2012-02-26,0.308
2012-02-27,0.332
2012-02-28,0.356
2012-02-29,0.38
2012-03-01,0.404
2012-03-02,0.428
2012-03-03,0.452
2012-03-04,0.476
2012-03-05,0.5
2012-03-06,0.524
2012-03-07,0.549
2012-03-08,0.573
2012-03-09,0.597
2012-03-10,0.621
2012-03-11,0.655
2012-03-12,0.746
2012-03-13,0.844
2012-03-14,0.944
2012-03-15,1.04
2012-03-16,1.14
2012-03-17,1.24
2012-03-18,1.34
2012-03-19,1.44
2012-03-20,1.56
2012-03-21,1.78
2012-03-22,2.16
2012-03-23,2.64
2012-03-24,3.29
2012-03-25,4.27
2012-03-26,5.87
2012-03-27,7.56
2012-03-28,9.18
2012-03-29,10.3
2012-03-30,10.9
2012-03-31,10.7
2012-04-01,10.3
2012-04-02,9.87
2012-04-03,9.07
2012-04-04,7.94
2012-04-05,7.35
2012-04-06,7.54
2012-04-07,7.96
2012-04-08,8.53
2012-04-09,9.22
2012-04-10,10.0
2012-04-11,10.9
2012-04-12,11.5
2012-04-13,10.9
2012-04-14,9.85
2012-04-15,8.87
2012-04-16,8.27
2012-04-17,8.52
2012-04-18,8.99
2012-04-19,8.92
2012-04-20,8.7
2012-04-21,8.36
2012-04-22,7.97
2012-04-23,7.6
2012-04-24,7.12
2012-04-25,6.75
2012-04-26,6.11
2012-04-27,6.22
2012-04-28,6.54
2012-04-29,6.57
2012-04-30,6.27
2012-05-01,5.66
2012-05-02,5.18
2012-05-03,4.96
2012-05-04,4.82
2012-05-05,4.63
2012-05-06,4.46
2012-05-07,4.3
2012-05-08,4.3
2012-05-09,4.3
2012-05-10,4.3
2012-05-11,4.3
2012-05-12,4.6
2012-05-13,5.8
2012-05-14,5.63
2012-05-15,5.32
2012-05-16,5.28
2012-05-17,5.27
2012-05-18,5.3
2012-05-19,6.5
2012-05-20,6.3
2012-05-21,6.83
2012-05-22,7.82
2012-05-23,8.67
2012-05-24,8.87
2012-05-25,9.64
2012-05-26,10.2
2012-05-27,9.41
2012-05-28,8.02
2012-05-29,7.94
2012-05-30,7.63
2012-05-31,6.65
2012-06-01,5.81
2012-06-02,5.64
2012-06-03,8.05
2012-06-04,8.02
2012-06-05,7.79
2012-06-06,7.73
2012-06-07,11.4
2012-06-08,8.29
2012-06-09,7.94
2012-06-10,7.79
2012-06-11,7.44
2012-06-12,9.99
2012-06-13,19.3
2012-06-14,13.7
2012-06-15,12.8
2012-06-16,16.9
2012-06-17,22.9
2012-06-18,24.0
2012-06-19,14.5
2012-06-20,12.2
2012-06-21,11.2
2012-06-22,10.3
2012-06-23,9.75
2012-06-24,9.52
2012-06-25,11.4
2012-06-26,14.4
2012-06-27,15.3
2012-06-28,17.2
2012-06-29,17.2
2012-06-30,13.0
2012-07-01,12.6
2012-07-02,15.3
2012-07-03,18.0
2012-07-04,17.7
2012-07-05,15.3
2012-07-06,14.0
2012-07-07,12.6
2012-07-08,12.2
2012-07-09,15.7
2012-07-10,16.0
2012-07-11,23.9
2012-07-12,38.4
2012-07-13,22.9
2012-07-14,20.1
2012-07-15,19.1
2012-07-16,16.4
2012-07-17,14.5
2012-07-18,13.1
2012-07-19,12.3
2012-07-20,11.9
2012-07-21,18.0
2012-07-22,47.3
2012-07-23,35.3
2012-07-24,31.2
2012-07-25,38.9
2012-07-26,139.0
2012-07-27,92.0
2012-07-28,78.4
2012-07-29,122.0
2012-07-30,114.0
2012-07-31,107.0
2012-08-01,97.9
2012-08-02,88.0
2012-08-03,80.4
2012-08-04,70.7
2012-08-05,66.4
2012-08-06,63.5
2012-08-07,57.1
2012-08-08,51.7
2012-08-09,47.3
2012-08-10,45.6
2012-08-11,42.3
2012-08-12,38.3
2012-08-13,36.9
2012-08-14,35.6
2012-08-15,34.4
2012-08-16,31.5
2012-08-17,29.9
2012-08-18,31.3
2012-08-19,30.1
2012-08-20,28.7
2012-08-21,27.1
2012-08-22,25.3
2012-08-23,23.0
2012-08-24,21.7
2012-08-25,20.4
2012-08-26,19.8
2012-08-27,19.5
2012-08-28,19.0
2012-08-29,18.4
2012-08-30,17.9
2012-08-31,17.6
2012-09-01,17.2
2012-09-02,18.4
2012-09-03,23.6
2012-09-04,24.5
2012-09-05,25.1
2012-09-06,22.7
2012-09-07,20.5
2012-09-08,19.3
2012-09-09,18.4
2012-09-10,17.6
2012-09-11,24.4
2012-09-12,24.3
2012-09-13,24.3
2012-09-14,23.8
2012-09-15,21.5
2012-09-16,19.8
2012-09-17,18.8
2012-09-18,18.3
2012-09-19,18.1
2012-09-20,17.6
2012-09-21,17.2
2012-09-22,16.9
2012-09-23,17.2
2012-09-24,17.0
2012-09-25,17.5
2012-09-26,18.7
2012-09-27,18.6
2012-09-28,20.4
2012-09-29,19.2
2012-09-30,17.9
2012-10-01,17.4
2012-10-02,17.2
2012-10-03,22.2
2012-10-04,27.4
2012-10-05,25.2
2012-10-06,23.3
2012-10-07,21.1
2012-10-08,19.9
2012-10-09,19.3
2012-10-10,18.8
2012-10-11,18.3
2012-10-12,17.9
2012-10-13,18.8
2012-10-14,18.8
2012-10-15,18.5
2012-10-16,19.4
2012-10-17,19.8
2012-10-18,19.3
2012-10-19,18.2
2012-10-20,17.7
2012-10-21,16.5
2012-10-22,16.5
2012-10-23,17.0
2012-10-24,16.8
2012-10-25,16.8
2012-10-26,16.8
2012-10-27,16.8
2012-10-28,16.1
2012-10-29,14.4
2012-10-30,13.3
2012-10-31,13.1
2012-11-01,13.1
2012-11-02,13.1
2012-11-03,13.1
2012-11-04,13.0
2012-11-05,13.0
2012-11-06,12.9
2012-11-07,12.7
2012-11-08,12.0
2012-11-09,11.0
2012-11-10,10.5
2012-11-11,10.4
2012-11-12,10.3
2012-11-13,10.1
2012-11-14,9.93
2012-11-15,9.81
2012-11-16,9.71
2012-11-17,9.57
2012-11-18,8.94
2012-11-19,7.81
2012-11-20,6.78
2012-11-21,6.06
2012-11-22,5.55
2012-11-23,5.28
2012-11-24,5.09
2012-11-25,4.95
2012-11-26,4.76
2012-11-27,4.53
2012-11-28,4.3
2012-11-29,4.07
2012-11-30,3.84
2012-12-01,3.62
2012-12-02,3.41
2012-12-03,3.22
2012-12-04,3.03
2012-12-05,2.85
2012-12-06,2.66
2012-12-07,2.48
2012-12-08,2.3
2012-12-09,2.11
2012-12-10,1.93
2012-12-11,1.74
2012-12-12,1.58
2012-12-13,1.54
2012-12-14,1.52
2012-12-15,1.5
2012-12-16,1.48
2012-12-17,1.45
2012-12-18,1.43
2012-12-19,1.41
2012-12-20,1.39
2012-12-21,1.36
2012-12-22,1.34
2012-12-23,1.35
2012-12-24,1.36
2012-12-25,1.36
2012-12-26,1.37
2012-12-27,1.38
2012-12-28,1.39
2012-12-29,1.4
2012-12-30,1.41
2012-12-31,1.41
2013-01-01,1.41
2013-01-02,1.35
2013-01-03,1.28
2013-01-04,1.21
2013-01-05,1.15
2013-01-06,1.08
2013-01-07,1.01
2013-01-08,0.939
2013-01-09,0.87
2013-01-10,0.802
2013-01-11,0.743
2013-01-12,0.735
2013-01-13,0.736
2013-01-14,0.736
2013-01-15,0.737
2013-01-16,0.737
2013-01-17,0.737
2013-01-18,0.738
2013-01-19,0.738
2013-01-20,0.739
