date,sediment
2012-01-01,0.0
2012-01-02,0.0
2012-01-03,0.0
2012-01-04,0.0
2012-01-05,0.0
2012-01-06,0.0
2012-01-07,0.0
2012-01-08,0.0
2012-01-09,0.0
2012-01-10,0.0
2012-01-11,0.0
2012-01-12,0.0
2012-01-13,0.0
2012-01-14,0.0
2012-01-15,0.0
2012-01-16,0.0
2012-01-17,0.0
2012-01-18,0.0
2012-01-19,0.0
2012-01-20,0.0
2012-01-21,0.0
2012-01-22,0.0
2012-01-23,0.0
2012-01-24,0.0
2012-01-25,0.0
2012-01-26,0.0
2012-01-27,0.0
2012-01-28,0.0
2012-01-29,0.0
2012-01-30,0.0
2012-01-31,0.0
2012-02-01,0.0
2012-02-02,0.0
2012-02-03,0.0
2012-02-04,0.0
2012-02-05,0.0
2012-02-06,0.0
2012-02-07,0.0
2012-02-08,0.0
2012-02-09,0.0
2012-02-10,0.0
2012-02-11,0.0
2012-02-12,0.0
2012-02-13,0.0
2012-02-14,0.0
2012-02-15,0.0
2012-02-16,0.0
2012-02-17,0.0
2012-02-18,0.0
2012-02-19,0.0
2012-02-20,0.0
2012-02-21,0.0
2012-02-22,0.0
2012-02-23,0.0
2012-02-24,0.0
2012-02-25,0.0
2012-02-26,0.0
2012-02-27,0.0
2012-02-28,0.0
2012-02-29,0.0
2012-03-01,0.0
2012-03-02,0.0
2012-03-03,0.0
2012-03-04,0.0
2012-03-05,0.0
2012-03-06,0.0
2012-03-07,0.0
2012-03-08,0.0
2012-03-09,0.0
2012-03-10,0.0
2012-03-11,0.0
2012-03-12,0.0
2012-03-13,0.0
2012-03-14,0.0
2012-03-15,0.0
2012-03-16,8.8
2012-03-17,15.3
2012-03-18,20.1
2012-03-19,25.7
2012-03-20,31.4
2012-03-21,35.4
2012-03-22,37.0
2012-03-23,37.9
2012-03-24,38.6
2012-03-25,39.6
2012-03-26,74.8
2012-03-27,205.0
2012-03-28,343.0
2012-03-29,428.0
2012-03-30,342.0
2012-03-31,248.0
2012-04-01,150.0
2012-04-02,118.0
2012-04-03,298.0
2012-04-04,471.0
2012-04-05,427.0
2012-04-06,333.0
2012-04-07,237.0
2012-04-08,199.0
2012-04-09,336.0
2012-04-10,487.0
2012-04-11,636.0
2012-04-12,730.0
2012-04-13,650.0
2012-04-14,553.0
2012-04-15,458.0
2012-04-16,366.0
2012-04-17,349.0
2012-04-18,354.0
2012-04-19,358.0
2012-04-20,325.0
2012-04-21,273.0
2012-04-22,220.0
2012-04-23,175.0
2012-04-24,159.0
2012-04-25,145.0
2012-04-26,132.0
2012-04-27,118.0
2012-04-28,105.0
2012-04-29,95.9
2012-04-30,87.2
2012-05-01,78.6
2012-05-02,69.9
2012-05-03,60.7
2012-05-04,50.6
2012-05-05,40.2
2012-05-06,30.0
2012-05-07,19.8
2012-05-08,13.5
2012-05-09,19.8
2012-05-10,27.2
2012-05-11,34.7
2012-05-12,46.7
2012-05-13,71.6
2012-05-14,97.2
2012-05-15,123.0
2012-05-16,149.0
2012-05-17,167.0
2012-05-18,161.0
2012-05-19,153.0
2012-05-20,153.0
2012-05-21,152.0
2012-05-22,153.0
2012-05-23,153.0
2012-05-24,156.0
2012-05-25,159.0
2012-05-26,159.0
2012-05-27,160.0
2012-05-28,156.0
2012-05-29,132.0
2012-05-30,107.0
2012-05-31,82.3
2012-06-01,56.8
2012-06-02,47.7
2012-06-03,191.0
2012-06-04,259.0
2012-06-05,186.0
2012-06-06,783.0
2012-06-07,11600.0
2012-06-08,1580.0
2012-06-09,538.0
2012-06-10,418.0
2012-06-11,301.0
2012-06-12,3650.0
2012-06-13,6420.0
2012-06-14,4120.0
2012-06-15,4120.0
2012-06-16,13300.0
2012-06-17,9300.0
2012-06-18,4170.0
2012-06-19,2060.0
2012-06-20,1070.0
2012-06-21,302.0
2012-06-22,211.0
2012-06-23,174.0
2012-06-24,147.0
2012-06-25,527.0
2012-06-26,993.0
2012-06-27,980.0
2012-06-28,913.0
2012-06-29,698.0
2012-06-30,422.0
2012-07-01,230.0
2012-07-02,967.0
2012-07-03,5890.0
2012-07-04,5820.0
2012-07-05,4350.0
2012-07-06,2880.0
2012-07-07,1410.0
2012-07-08,1100.0
2012-07-09,3460.0
2012-07-10,15800.0
2012-07-11,19600.0
2012-07-12,7450.0
2012-07-13,2140.0
2012-07-14,831.0
2012-07-15,1360.0
2012-07-16,318.0
2012-07-17,284.0
2012-07-18,355.0
2012-07-19,426.0
2012-07-20,497.0
2012-07-21,6500.0
2012-07-22,7930.0
2012-07-23,2760.0
2012-07-24,5710.0
2012-07-25,21100.0
2012-07-26,12500.0
2012-07-27,3090.0
2012-07-28,1910.0
2012-07-29,4270.0
2012-07-30,3110.0
2012-07-31,1740.0
2012-08-01,645.0
2012-08-02,545.0
2012-08-03,527.0
2012-08-04,509.0
2012-08-05,491.0
2012-08-06,469.0
2012-08-07,431.0
2012-08-08,391.0
2012-08-09,351.0
2012-08-10,311.0
2012-08-11,272.0
2012-08-12,232.0
2012-08-13,201.0
2012-08-14,203.0
2012-08-15,207.0
2012-08-16,210.0
2012-08-17,214.0
2012-08-18,213.0
2012-08-19,212.0
2012-08-20,211.0
2012-08-21,210.0
2012-08-22,204.0
2012-08-23,181.0
2012-08-24,158.0
2012-08-25,134.0
2012-08-26,111.0
2012-08-27,87.7
2012-08-28,79.5
2012-08-29,76.1
2012-08-30,73.2
2012-08-31,69.9
2012-09-01,75.0
2012-09-02,107.0
2012-09-03,128.0
2012-09-04,118.0
2012-09-05,106.0
2012-09-06,93.0
2012-09-07,80.5
2012-09-08,70.5
2012-09-09,68.5
2012-09-10,168.0
2012-09-11,2940.0
2012-09-12,2240.0
2012-09-13,1080.0
2012-09-14,175.0
2012-09-15,99.1
2012-09-16,88.9
