date,discharge
2012-01-01,0.0
2012-01-02,0.0
2012-01-03,0.0
2012-01-04,0.0
2012-01-05,0.0
2012-01-06,0.0
2012-01-07,0.0
2012-01-08,0.0
2012-01-09,0.0
2012-01-10,0.0
2012-01-11,0.0
2012-01-12,0.0
2012-01-13,0.0
2012-01-14,0.0
2012-01-15,0.0
2012-01-16,0.0
2012-01-17,0.0
2012-01-18,0.0
2012-01-19,0.0
2012-01-20,0.0
2012-01-21,0.0
2012-01-22,0.0
2012-01-23,0.0
2012-01-24,0.0
2012-01-25,0.0
2012-01-26,0.0
2012-01-27,0.0
2012-01-28,0.0
2012-01-29,0.0
2012-01-30,0.0
2012-01-31,0.0
2012-02-01,0.0
2012-02-02,0.0
2012-02-03,0.0
2012-02-04,0.0
2012-02-05,0.0
2012-02-06,0.0
2012-02-07,0.0
2012-02-08,0.0
2012-02-09,0.0
2012-02-10,0.0
2012-02-11,0.0
2012-02-12,0.0
2012-02-13,0.0
2012-02-14,0.0
2012-02-15,0.0
2012-02-16,0.0
2012-02-17,0.0
2012-02-18,0.0
2012-02-19,0.0
2012-02-20,0.0
2012-02-21,0.0
2012-02-22,0.0
2012-02-23,0.0
2012-02-24,0.0
2012-02-25,0.0
2012-02-26,0.0
2012-02-27,0.0
2012-02-28,0.0
2012-02-29,0.0
2012-03-01,0.0
2012-03-02,0.0
2012-03-03,0.0
2012-03-04,0.0
2012-03-05,0.0
2012-03-06,0.0
2012-03-07,0.0
2012-03-08,0.0
2012-03-09,0.0
2012-03-10,0.0
2012-03-11,0.0
2012-03-12,0.0
2012-03-13,0.0
2012-03-14,0.0
2012-03-15,0.0
2012-03-16,0.0
2012-03-17,0.0
2012-03-18,0.0
2012-03-19,0.0
2012-03-20,0.0
2012-03-21,0.0
2012-03-22,0.0
2012-03-23,0.0
2012-03-24,0.0
2012-03-25,0.0
2012-03-26,0.0
2012-03-27,0.0
2012-03-28,0.0
2012-03-29,0.0
2012-03-30,0.0
2012-03-31,0.0
2012-04-01,0.0
2012-04-02,0.0
2012-04-03,0.0
2012-04-04,0.0
2012-04-05,0.0
2012-04-06,0.0
2012-04-07,0.0
2012-04-08,0.0
2012-04-09,0.0
2012-04-10,0.0
2012-04-11,0.0
2012-04-12,0.0
2012-04-13,0.0
2012-04-14,0.0
2012-04-15,0.0
2012-04-16,0.0
2012-04-17,0.0
2012-04-18,0.0
2012-04-19,0.0
2012-04-20,0.0
2012-04-21,0.0
2012-04-22,0.0
2012-04-23,0.0
2012-04-24,0.0
2012-04-25,0.0
2012-04-26,0.0
2012-04-27,0.0
2012-04-28,0.0
2012-04-29,0.0
2012-04-30,0.0
2012-05-01,5.69
2012-05-02,2.84
2012-05-03,0.0
2012-05-04,0.0
2012-05-05,0.0
2012-05-06,0.0
2012-05-07,22.1
2012-05-08,34.4
2012-05-09,35.0
2012-05-10,26.7
2012-05-11,20.8
2012-05-12,37.1
2012-05-13,45.2
2012-05-14,45.0
2012-05-15,38.7
2012-05-16,36.5
2012-05-17,37.0
2012-05-18,49.8
2012-05-19,60.7
2012-05-20,63.0
2012-05-21,63.0
2012-05-22,63.0
2012-05-23,63.0
2012-05-24,63.0
2012-05-25,63.0
2012-05-26,63.0
2012-05-27,63.0
2012-05-28,63.0
2012-05-29,55.2
2012-05-30,48.6
2012-05-31,47.1
2012-06-01,42.4
2012-06-02,36.0
2012-06-03,34.8
2012-06-04,34.0
2012-06-05,28.0
2012-06-06,18.0
2012-06-07,23.8
2012-06-08,28.0
2012-06-09,28.0
2012-06-10,28.0
2012-06-11,21.8
2012-06-12,18.0
2012-06-13,18.0
2012-06-14,26.0
2012-06-15,34.0
2012-06-16,41.3
2012-06-17,47.0
2012-06-18,48.0
2012-06-19,48.0
2012-06-20,48.0
2012-06-21,48.0
2012-06-22,48.0
2012-06-23,48.0
2012-06-24,48.0
2012-06-25,48.0
2012-06-26,48.0
2012-06-27,48.0
2012-06-28,52.7
2012-06-29,56.0
2012-06-30,56.0
2012-07-01,56.0
2012-07-02,56.0
2012-07-03,56.0
2012-07-04,56.0
2012-07-05,56.0
2012-07-06,56.0
2012-07-07,56.0
2012-07-08,56.0
2012-07-09,56.0
2012-07-10,56.0
2012-07-11,56.0
2012-07-12,56.0
2012-07-13,56.0
2012-07-14,56.0
2012-07-15,56.0
2012-07-16,56.0
2012-07-17,56.0
2012-07-18,56.0
2012-07-19,56.0
2012-07-20,56.0
2012-07-21,56.0
2012-07-22,56.0
2012-07-23,56.0
2012-07-24,56.0
2012-07-25,58.7
2012-07-26,60.0
2012-07-27,60.0
2012-07-28,60.0
2012-07-29,55.0
2012-07-30,115.0
2012-07-31,150.0
2012-08-01,150.0
2012-08-02,150.0
2012-08-03,150.0
2012-08-04,150.0
2012-08-05,150.0
2012-08-06,150.0
2012-08-07,150.0
2012-08-08,150.0
2012-08-09,150.0
2012-08-10,93.8
2012-08-11,56.9
2012-08-12,60.0
2012-08-13,60.0
2012-08-14,60.0
2012-08-15,60.0
2012-08-16,60.0
2012-08-17,60.0
2012-08-18,60.0
2012-08-19,60.0
2012-08-20,60.0
2012-08-21,60.0
2012-08-22,60.0
2012-08-23,60.0
2012-08-24,60.0
2012-08-25,60.0
2012-08-26,60.0
2012-08-27,60.0
2012-08-28,60.0
2012-08-29,60.0
2012-08-30,60.0
2012-08-31,60.0
2012-09-01,60.0
2012-09-02,60.0
2012-09-03,60.0
2012-09-04,60.0
2012-09-05,60.0
2012-09-06,60.0
2012-09-07,60.0
2012-09-08,60.0
2012-09-09,60.0
2012-09-10,60.0
2012-09-11,60.0
2012-09-12,60.0
2012-09-13,60.0
2012-09-14,60.0
2012-09-15,60.0
2012-09-16,50.0
2012-09-17,55.0
2012-09-18,60.0
2012-09-19,60.0
2012-09-20,59.4
