date,discharge
2012-01-01,2.76
2012-01-02,2.63
2012-01-03,2.5
2012-01-04,2.37
2012-01-05,2.25
2012-01-06,2.12
2012-01-07,1.99
2012-01-08,1.86
2012-01-09,1.74
2012-01-10,1.72
2012-01-11,1.71
2012-01-12,1.69
2012-01-13,1.68
2012-01-14,1.66
2012-01-15,1.65
2012-01-16,1.64
2012-01-17,1.62
2012-01-18,1.61
2012-01-19,1.6
2012-01-20,1.58
2012-01-21,1.56
2012-01-22,1.54
2012-01-23,1.52
2012-01-24,1.5
2012-01-25,1.48
2012-01-26,1.46
2012-01-27,1.45
2012-01-28,1.43
2012-01-29,1.41
2012-01-30,1.39
2012-01-31,1.38
2012-02-01,1.42
2012-02-02,1.46
2012-02-03,1.51
2012-02-04,1.55
2012-02-05,1.59
2012-02-06,1.64
2012-02-07,1.68
2012-02-08,1.72
2012-02-09,1.77
2012-02-10,1.81
2012-02-11,1.87
2012-02-12,1.92
2012-02-13,1.97
2012-02-14,2.03
2012-02-15,2.08
2012-02-16,2.13
2012-02-17,2.19
2012-02-18,2.24
2012-02-19,2.27
2012-02-20,2.2
2012-02-21,2.1
2012-02-22,2.02
2012-02-23,1.92
2012-02-24,1.82
2012-02-25,1.74
2012-02-26,1.64
2012-02-27,1.56
2012-02-28,1.5
2012-02-29,1.62
2012-03-01,1.76
2012-03-02,1.92
2012-03-03,2.06
2012-03-04,2.21
2012-03-05,2.35
2012-03-06,2.5
2012-03-07,2.64
2012-03-08,2.8
2012-03-09,2.91
2012-03-10,2.9
2012-03-11,2.86
2012-03-12,2.83
2012-03-13,2.8
2012-03-14,2.76
2012-03-15,2.73
2012-03-16,2.7
2012-03-17,2.66
2012-03-18,2.63
2012-03-19,2.6
2012-03-20,2.56
2012-03-21,2.54
2012-03-22,2.68
2012-03-23,3.74
2012-03-24,4.92
2012-03-25,6.11
2012-03-26,7.29
2012-03-27,8.48
2012-03-28,9.68
2012-03-29,10.8
2012-03-30,11.9
2012-03-31,12.1
2012-04-01,12.1
2012-04-02,12.2
2012-04-03,12.3
2012-04-04,12.4
2012-04-05,12.5
2012-04-06,12.6
2012-04-07,12.6
2012-04-08,12.7
2012-04-09,12.8
2012-04-10,12.5
2012-04-11,12.0
2012-04-12,11.6
2012-04-13,11.2
2012-04-14,10.8
2012-04-15,10.4
2012-04-16,9.96
2012-04-17,9.55
2012-04-18,9.13
2012-04-19,8.71
2012-04-20,8.26
2012-04-21,7.66
2012-04-22,7.05
2012-04-23,6.43
2012-04-24,5.81
2012-04-25,5.19
2012-04-26,4.58
2012-04-27,3.96
2012-04-28,3.35
2012-04-29,2.86
2012-04-30,2.78
2012-05-01,2.53
2012-05-02,2.67
2012-05-03,3.37
2012-05-04,4.16
2012-05-05,3.98
2012-05-06,3.33
2012-05-07,2.89
2012-05-08,3.96
2012-05-09,4.09
2012-05-10,12.8
2012-05-11,17.5
2012-05-12,17.4
2012-05-13,15.0
2012-05-14,20.2
2012-05-15,21.5
2012-05-16,21.6
2012-05-17,20.9
2012-05-18,18.2
2012-05-19,6.22
2012-05-20,3.13
2012-05-21,2.83
2012-05-22,3.82
2012-05-23,7.3
2012-05-24,8.13
2012-05-25,7.28
2012-05-26,9.25
2012-05-27,19.2
2012-05-28,21.9
2012-05-29,22.7
2012-05-30,26.0
2012-05-31,25.9
2012-06-01,24.2
2012-06-02,24.7
2012-06-03,24.7
2012-06-04,25.4
2012-06-05,26.5
2012-06-06,22.9
2012-06-07,17.9
2012-06-08,17.4
2012-06-09,20.1
2012-06-10,21.4
2012-06-11,21.4
2012-06-12,25.9
2012-06-13,45.7
2012-06-14,63.4
2012-06-15,64.2
2012-06-16,81.7
2012-06-17,86.4
2012-06-18,92.8
2012-06-19,81.5
2012-06-20,63.8
2012-06-21,56.8
2012-06-22,54.3
2012-06-23,51.8
2012-06-24,48.4
2012-06-25,53.8
2012-06-26,55.7
2012-06-27,64.9
2012-06-28,71.9
2012-06-29,78.5
2012-06-30,84.5
2012-07-01,83.5
2012-07-02,94.2
2012-07-03,109.0
2012-07-04,104.0
2012-07-05,89.3
2012-07-06,76.6
2012-07-07,71.0
2012-07-08,67.2
2012-07-09,86.8
2012-07-10,82.8
2012-07-11,90.9
2012-07-12,160.0
2012-07-13,145.0
2012-07-14,104.0
2012-07-15,88.4
2012-07-16,82.9
2012-07-17,76.6
2012-07-18,74.1
2012-07-19,71.3
2012-07-20,64.6
2012-07-21,66.6
2012-07-22,117.0
2012-07-23,180.0
2012-07-24,140.0
2012-07-25,114.0
2012-07-26,107.0
2012-07-27,165.0
2012-07-28,201.0
2012-07-29,248.0
2012-07-30,287.0
2012-07-31,286.0
2012-08-01,278.0
2012-08-02,232.0
2012-08-03,201.0
2012-08-04,196.0
2012-08-05,186.0
2012-08-06,181.0
2012-08-07,176.0
2012-08-08,168.0
2012-08-09,160.0
2012-08-10,156.0
2012-08-11,128.0
2012-08-12,113.0
2012-08-13,105.0
2012-08-14,95.4
2012-08-15,89.8
2012-08-16,85.7
2012-08-17,85.4
2012-08-18,83.9
2012-08-19,78.9
2012-08-20,75.8
2012-08-21,71.7
2012-08-22,66.8
2012-08-23,64.5
2012-08-24,63.3
2012-08-25,60.8
2012-08-26,58.5
2012-08-27,55.6
2012-08-28,53.6
2012-08-29,51.3
2012-08-30,51.3
2012-08-31,51.3
2012-09-01,51.3
2012-09-02,59.5
2012-09-03,94.1
2012-09-04,107.0
2012-09-05,107.0
2012-09-06,107.0
2012-09-07,105.0
2012-09-08,101.0
2012-09-09,98.6
2012-09-10,99.0
2012-09-11,109.0
2012-09-12,134.0
2012-09-13,140.0
2012-09-14,132.0
2012-09-15,116.0
2012-09-16,110.0
2012-09-17,103.0
2012-09-18,101.0
2012-09-19,99.1
2012-09-20,96.3
2012-09-21,90.8
2012-09-22,89.4
2012-09-23,89.4
2012-09-24,88.6
2012-09-25,86.2
2012-09-26,85.9
2012-09-27,90.3
2012-09-28,106.0
2012-09-29,101.0
2012-09-30,95.5
2012-10-01,91.5
2012-10-02,89.4
2012-10-03,83.8
2012-10-04,81.4
2012-10-05,99.8
2012-10-06,97.0
2012-10-07,95.8
2012-10-08,90.0
2012-10-09,89.4
2012-10-10,89.4
2012-10-11,88.3
2012-10-12,61.4
2012-10-13,71.3
2012-10-14,70.9
2012-10-15,69.3
2012-10-16,69.4
2012-10-17,73.0
2012-10-18,73.4
2012-10-19,72.8
2012-10-20,70.9
2012-10-21,69.3
2012-10-22,68.4
2012-10-23,68.2
2012-10-24,68.2
2012-10-25,67.7
2012-10-26,66.9
2012-10-27,66.9
2012-10-28,66.9
2012-10-29,66.9
2012-10-30,65.9
2012-10-31,64.7
2012-11-01,64.5
2012-11-02,63.0
2012-11-03,62.1
2012-11-04,62.1
2012-11-05,62.1
2012-11-06,61.7
2012-11-07,46.3
2012-11-08,36.2
2012-11-09,32.0
2012-11-10,30.2
2012-11-11,28.4
2012-11-12,27.5
2012-11-13,26.6
2012-11-14,25.4
2012-11-15,24.5
2012-11-16,24.5
2012-11-17,24.2
2012-11-18,23.0
2012-11-19,22.1
2012-11-20,16.0
2012-11-21,14.8
2012-11-22,14.8
2012-11-23,14.8
2012-11-24,14.4
2012-11-25,13.7
2012-11-26,13.1
2012-11-27,12.4
2012-11-28,11.8
2012-11-29,11.1
2012-11-30,10.5
2012-12-01,9.81
2012-12-02,9.16
2012-12-03,8.51
2012-12-04,7.91
2012-12-05,7.65
2012-12-06,7.48
2012-12-07,7.3
2012-12-08,7.13
2012-12-09,6.96
2012-12-10,6.78
2012-12-11,6.61
2012-12-12,6.44
2012-12-13,6.26
2012-12-14,6.09
2012-12-15,5.92
2012-12-16,5.75
2012-12-17,5.57
2012-12-18,5.4
2012-12-19,5.23
2012-12-20,5.05
2012-12-21,4.88
2012-12-22,4.72
2012-12-23,4.55
2012-12-24,4.38
2012-12-25,4.22
2012-12-26,4.05
2012-12-27,3.88
2012-12-28,3.72
2012-12-29,3.55
2012-12-30,3.38
2012-12-31,3.23
2013-01-01,3.18
2013-01-02,3.14
2013-01-03,3.09
2013-01-04,3.05
2013-01-05,3.0
2013-01-06,2.95
2013-01-07,2.91
2013-01-08,2.86
2013-01-09,2.81
2013-01-10,2.77
2013-01-11,2.73
2013-01-12,2.69
2013-01-13,2.65
2013-01-14,2.61
2013-01-15,2.57
2013-01-16,2.53
2013-01-17,2.49
2013-01-18,2.45
2013-01-19,2.42
2013-01-20,2.38
2013-01-21,2.34
2013-01-22,2.3
2013-01-23,2.26
2013-01-24,2.22
2013-01-25,2.18
2013-01-26,2.14
2013-01-27,2.1
2013-01-28,2.06
2013-01-29,2.02
2013-01-30,1.98
2013-01-31,1.95
2013-02-01,1.91
2013-02-02,1.87
2013-02-03,1.83
2013-02-04,1.79
2013-02-05,1.75
2013-02-06,1.71
2013-02-07,1.67
2013-02-08,1.63
2013-02-09,1.6
2013-02-10,1.56
2013-02-11,1.52
2013-02-12,1.48
2013-02-13,1.45
2013-02-14,1.48
2013-02-15,1.53
2013-02-16,1.57
2013-02-17,1.61
2013-02-18,1.66
2013-02-19,1.7
2013-02-20,1.74
2013-02-21,1.78
2013-02-22,1.83
2013-02-23,1.87
2013-02-24,1.91
2013-02-25,1.96
2013-02-26,2.0
2013-02-27,2.03
2013-02-28,2.04
2013-03-01,2.04
2013-03-02,2.04
2013-03-03,2.04
2013-03-04,2.04
2013-03-05,2.04
2013-03-06,2.14
2013-03-07,3.47
2013-03-08,8.09
2013-03-09,8.94
2013-03-10,12.7
2013-03-11,14.6
2013-03-12,14.6
2013-03-13,15.5
2013-03-14,15.8
2013-03-15,14.5
2013-03-16,8.96
2013-03-17,5.98
2013-03-18,7.95
2013-03-19,9.24
2013-03-20,15.1
2013-03-21,10.3
2013-03-22,14.5
2013-03-23,13.7
2013-03-24,14.4
2013-03-25,16.6
2013-03-26,11.6
2013-03-27,9.92
2013-03-28,7.67
2013-03-29,11.3
2013-03-30,12.3
2013-03-31,12.7
2013-04-01,12.1
2013-04-02,12.2
2013-04-03,11.4
2013-04-04,11.7
2013-04-05,13.0
2013-04-06,12.6
2013-04-07,13.9
2013-04-08,14.7
2013-04-09,14.8
2013-04-10,17.7
2013-04-11,18.1
2013-04-12,17.9
2013-04-13,18.1
2013-04-14,17.6
2013-04-15,17.1
2013-04-16,16.8
2013-04-17,18.3
2013-04-18,18.2
2013-04-19,18.4
2013-04-20,18.5
2013-04-21,18.3
2013-04-22,21.2
2013-04-23,24.7
2013-04-24,27.1
2013-04-25,28.0
2013-04-26,48.8
2013-04-27,69.7
2013-04-28,72.2
2013-04-29,78.8
2013-04-30,93.5
2013-05-01,99.8
2013-05-02,90.5
2013-05-03,86.4
2013-05-04,84.5
2013-05-05,81.7
2013-05-06,79.2
2013-05-07,79.0
2013-05-08,77.4
2013-05-09,75.5
2013-05-10,74.7
2013-05-11,73.1
2013-05-12,71.0
2013-05-13,68.2
2013-05-14,74.6
2013-05-15,113.0
2013-05-16,133.0
2013-05-17,103.0
2013-05-18,93.0
2013-05-19,81.9
2013-05-20,76.3
2013-05-21,75.0
2013-05-22,56.3
2013-05-23,47.4
2013-05-24,38.5
2013-05-25,30.2
2013-05-26,29.7
2013-05-27,29.8
2013-05-28,35.9
2013-05-29,44.3
2013-05-30,51.5
2013-05-31,53.4
2013-06-01,52.6
2013-06-02,52.7
2013-06-03,63.5
2013-06-04,69.3
2013-06-05,68.6
2013-06-06,67.4
2013-06-07,68.6
2013-06-08,68.2
2013-06-09,68.6
2013-06-10,69.4
