date,sediment
2012-01-01,0.0
2012-01-02,0.0
2012-01-03,0.0
2012-01-04,0.0
2012-01-05,0.0
2012-01-06,0.0
2012-01-07,0.0
2012-01-08,0.0
2012-01-09,0.0
2012-01-10,0.0
2012-01-11,0.0
2012-01-12,0.0
2012-01-13,0.0
2012-01-14,0.0
2012-01-15,0.0
2012-01-16,0.0
2012-01-17,0.0
2012-01-18,0.0
2012-01-19,0.0
2012-01-20,0.0
2012-01-21,0.0
2012-01-22,0.0
2012-01-23,0.0
2012-01-24,0.0
2012-01-25,0.0
2012-01-26,0.0
2012-01-27,0.0
2012-01-28,0.0
2012-01-29,0.0
2012-01-30,0.0
2012-01-31,0.0
2012-02-01,0.0
2012-02-02,0.0
2012-02-03,0.0
2012-02-04,0.0
2012-02-05,0.0
2012-02-06,0.0
2012-02-07,0.0
2012-02-08,0.0
2012-02-09,0.0
2012-02-10,0.0
2012-02-11,0.0
2012-02-12,0.0
2012-02-13,0.0
2012-02-14,0.0
2012-02-15,0.0
2012-02-16,0.0
2012-02-17,0.0
2012-02-18,0.0
2012-02-19,0.0
2012-02-20,0.0
2012-02-21,0.0
2012-02-22,0.0
2012-02-23,0.0
2012-02-24,0.0
2012-02-25,0.0
2012-02-26,0.0
2012-02-27,0.0
2012-02-28,0.0
2012-02-29,0.0
2012-03-01,0.0
2012-03-02,0.0
2012-03-03,0.0
2012-03-04,0.0
2012-03-05,0.0
2012-03-06,0.0
2012-03-07,0.0
2012-03-08,0.0
2012-03-09,0.0
2012-03-10,0.0
2012-03-11,0.0
2012-03-12,0.0
2012-03-13,0.0
2012-03-14,0.0
2012-03-15,0.0
2012-03-16,0.0
2012-03-17,0.0
2012-03-18,0.0
2012-03-19,0.0
2012-03-20,0.0
2012-03-21,0.0
2012-03-22,0.0
2012-03-23,0.0
2012-03-24,0.0
2012-03-25,0.0
2012-03-26,0.0
2012-03-27,0.0
2012-03-28,0.0
2012-03-29,0.0
2012-03-30,0.0
2012-03-31,0.0
2012-04-01,104.0
2012-04-02,108.0
2012-04-03,111.0
2012-04-04,115.0
2012-04-05,118.0
2012-04-06,121.0
2012-04-07,126.0
2012-04-08,130.0
2012-04-09,132.0
2012-04-10,122.0
2012-04-11,109.0
2012-04-12,94.8
2012-04-13,83.2
2012-04-14,79.3
2012-04-15,76.0
2012-04-16,72.8
2012-04-17,69.7
2012-04-18,66.9
2012-04-19,64.2
2012-04-20,63.2
2012-04-21,70.5
2012-04-22,78.7
2012-04-23,87.1
2012-04-24,92.4
2012-04-25,83.6
2012-04-26,73.1
2012-04-27,62.9
2012-04-28,52.2
2012-04-29,43.7
2012-04-30,42.1
2012-05-01,41.1
2012-05-02,40.1
2012-05-03,38.9
2012-05-04,38.2
2012-05-05,37.9
2012-05-06,37.5
2012-05-07,37.4
2012-05-08,37.6
2012-05-09,38.1
2012-05-10,38.7
2012-05-11,39.5
2012-05-12,41.0
2012-05-13,44.7
2012-05-14,48.1
2012-05-15,46.4
2012-05-16,43.5
2012-05-17,40.6
2012-05-18,37.8
2012-05-19,35.2
2012-05-20,32.9
2012-05-21,31.1
2012-05-22,29.8
2012-05-23,30.7
2012-05-24,31.5
2012-05-25,31.9
2012-05-26,29.7
2012-05-27,28.4
2012-05-28,28.3
2012-05-29,28.6
2012-05-30,28.6
2012-05-31,28.8
2012-06-01,28.3
2012-06-02,28.0
2012-06-03,27.6
2012-06-04,27.3
2012-06-05,26.9
2012-06-06,27.1
2012-06-07,27.3
2012-06-08,29.7
2012-06-09,38.6
2012-06-10,47.7
2012-06-11,57.0
2012-06-12,262.0
2012-06-13,926.0
2012-06-14,1420.0
2012-06-15,931.0
2012-06-16,545.0
2012-06-17,898.0
2012-06-18,1140.0
2012-06-19,963.0
2012-06-20,751.0
2012-06-21,544.0
2012-06-22,335.0
2012-06-23,178.0
2012-06-24,182.0
2012-06-25,199.0
2012-06-26,215.0
2012-06-27,233.0
2012-06-28,236.0
2012-06-29,236.0
2012-06-30,236.0
2012-07-01,316.0
2012-07-02,632.0
2012-07-03,945.0
2012-07-04,866.0
2012-07-05,682.0
2012-07-06,497.0
2012-07-07,344.0
2012-07-08,344.0
2012-07-09,390.0
2012-07-10,2740.0
2012-07-11,5250.0
2012-07-12,2270.0
2012-07-13,715.0
2012-07-14,266.0
2012-07-15,201.0
2012-07-16,150.0
2012-07-17,144.0
2012-07-18,143.0
2012-07-19,141.0
2012-07-20,227.0
2012-07-21,1160.0
2012-07-22,1940.0
2012-07-23,836.0
2012-07-24,482.0
2012-07-25,641.0
2012-07-26,794.0
2012-07-27,1210.0
2012-07-28,2380.0
2012-07-29,2010.0
2012-07-30,1410.0
2012-08-01,978.0
2012-08-02,737.0
2012-08-03,682.0
2012-08-04,622.0
2012-08-05,570.0
2012-08-06,515.0
2012-08-07,461.0
2012-08-08,403.0
2012-08-09,348.0
2012-08-10,287.0
2012-08-11,229.0
2012-08-12,180.0
2012-08-13,169.0
2012-08-14,161.0
2012-08-15,155.0
2012-08-16,146.0
2012-08-17,133.0
2012-08-18,123.0
2012-08-19,111.0
2012-08-20,101.0
2012-08-21,96.2
2012-08-22,92.1
2012-08-23,87.9
2012-08-24,83.7
2012-08-25,83.1
2012-08-26,93.7
2012-08-27,106.0
2012-08-28,117.0
2012-08-29,129.0
2012-08-30,140.0
2012-08-31,148.0
2012-09-01,155.0
2012-09-02,163.0
2012-09-03,170.0
2012-09-04,174.0
2012-09-05,166.0
2012-09-06,158.0
2012-09-07,151.0
2012-09-08,151.0
2012-09-09,151.0
2012-09-10,151.0
2012-09-11,259.0
2012-09-12,529.0
2012-09-13,406.0
2012-09-14,261.0
2012-09-15,145.0
2012-09-16,135.0
2012-09-17,131.0
2012-09-18,127.0
2012-09-19,122.0
2012-09-20,109.0
