date,discharge
2012-01-01,0.09
2012-01-02,0.091
2012-01-03,0.093
2012-01-04,0.094
2012-01-05,0.095
2012-01-06,0.097
2012-01-07,0.098
2012-01-08,0.1
2012-01-09,0.101
2012-01-10,0.102
2012-01-11,0.104
2012-01-12,0.105
2012-01-13,0.106
2012-01-14,0.108
2012-01-15,0.109
2012-01-16,0.11
2012-01-17,0.112
2012-01-18,0.113
2012-01-19,0.114
2012-01-20,0.115
2012-01-21,0.117
2012-01-22,0.114
2012-01-23,0.112
2012-01-24,0.109
2012-01-25,0.106
2012-01-26,0.104
2012-01-27,0.101
2012-01-28,0.098
2012-01-29,0.096
2012-01-30,0.092
2012-01-31,0.09
2012-02-01,0.092
2012-02-02,0.096
2012-02-03,0.098
2012-02-04,0.102
2012-02-05,0.106
2012-02-06,0.109
2012-02-07,0.112
2012-02-08,0.116
2012-02-09,0.12
2012-02-10,0.122
2012-02-11,0.125
2012-02-12,0.126
2012-02-13,0.127
2012-02-14,0.128
2012-02-15,0.128
2012-02-16,0.129
2012-02-17,0.13
2012-02-18,0.13
2012-02-19,0.131
2012-02-20,0.131
2012-02-21,0.134
2012-02-22,0.146
2012-02-23,0.16
2012-02-24,0.174
2012-02-25,0.188
2012-02-26,0.202
2012-02-27,0.216
2012-02-28,0.23
2012-02-29,0.245
2012-03-01,0.26
2012-03-02,0.276
2012-03-03,0.29
2012-03-04,0.306
2012-03-05,0.322
2012-03-06,0.336
2012-03-07,0.352
2012-03-08,0.368
2012-03-09,0.382
2012-03-10,0.398
2012-03-11,0.421
2012-03-12,0.491
2012-03-13,0.568
2012-03-14,0.646
2012-03-15,0.724
2012-03-16,0.802
2012-03-17,0.879
2012-03-18,0.957
2012-03-19,1.03
2012-03-20,1.11
2012-03-21,1.21
2012-03-22,1.39
2012-03-23,1.6
2012-03-24,1.82
2012-03-25,2.04
2012-03-26,2.27
2012-03-27,2.48
2012-03-28,2.64
2012-03-29,2.39
2012-03-30,2.02
2012-03-31,1.7
2012-04-01,1.47
2012-04-02,1.3
2012-04-03,1.22
2012-04-04,1.35
2012-04-05,1.56
2012-04-06,1.78
2012-04-07,2.02
2012-04-08,2.25
2012-04-09,2.4
2012-04-10,2.3
2012-04-11,2.17
2012-04-12,2.05
2012-04-13,1.96
2012-04-14,1.9
2012-04-15,1.88
2012-04-16,1.87
2012-04-17,1.87
2012-04-18,2.13
2012-04-19,2.38
2012-04-20,2.43
2012-04-21,2.04
2012-04-22,1.93
2012-04-23,1.82
2012-04-24,1.81
2012-04-25,1.69
2012-04-26,1.53
2012-04-27,1.55
2012-04-28,1.46
2012-04-29,1.42
2012-04-30,1.39
2012-05-01,1.35
2012-05-02,1.3
2012-05-03,1.3
2012-05-04,1.3
2012-05-05,1.27
2012-05-06,1.22
2012-05-07,1.22
2012-05-08,1.22
2012-05-09,1.22
2012-05-10,1.22
2012-05-11,1.22
2012-05-12,1.35
2012-05-13,2.04
2012-05-14,1.62
2012-05-15,1.39
2012-05-16,1.38
2012-05-17,1.5
2012-05-18,1.36
2012-05-19,1.3
2012-05-20,1.23
2012-05-21,1.22
2012-05-22,1.22
2012-05-23,1.22
2012-05-24,1.22
2012-05-25,1.22
2012-05-26,1.19
2012-05-27,1.19
2012-05-28,1.19
2012-05-29,1.2
2012-05-30,1.33
2012-05-31,1.3
2012-06-01,1.22
2012-06-02,1.52
2012-06-03,3.04
2012-06-04,2.4
2012-06-05,1.97
2012-06-06,5.66
2012-06-07,3.03
2012-06-08,2.38
2012-06-09,2.42
2012-06-10,2.24
2012-06-11,2.06
2012-06-12,2.99
2012-06-13,7.89
2012-06-14,4.35
2012-06-15,4.13
2012-06-16,4.54
2012-06-17,14.8
2012-06-18,8.37
2012-06-19,4.47
2012-06-20,3.76
2012-06-21,3.36
2012-06-22,3.06
2012-06-23,2.85
2012-06-24,2.73
2012-06-25,3.61
2012-06-26,4.29
2012-06-27,3.83
2012-06-28,3.57
2012-06-29,3.64
2012-06-30,3.45
2012-07-01,3.36
2012-07-02,4.54
2012-07-03,4.78
2012-07-04,4.46
2012-07-05,3.66
2012-07-06,3.56
2012-07-07,3.21
2012-07-08,3.84
2012-07-09,4.32
2012-07-10,3.52
2012-07-11,4.12
2012-07-12,9.23
2012-07-13,6.06
2012-07-14,4.82
2012-07-15,4.18
2012-07-16,3.61
2012-07-17,3.28
2012-07-18,2.8
2012-07-19,2.68
2012-07-20,2.47
2012-07-21,2.76
2012-07-22,7.6
2012-07-23,7.19
