 demo                      SWAT+ 2026-05-13        MODULAR Rev 2026.unknown                               
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp       strss        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0     lai_max      bm_max     bm_grow       c_gro
                                                             m**2/m**2        kgha        kgha        kgha        degc        ----        ----        ----        ----        ----        ----        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc   m**2/m**2       kg/ha       kg/ha       kg/ha
   366    12    31  2020       1       1  hru0001                1.451    2770.567    3209.850    4746.186      12.763      33.412       0.000      13.610      61.071      19.027       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000       0.000       0.000       0.000
   366    12    31  2020       2       1  hru0002                1.437    2122.286    2485.469    3785.881      12.768      33.634       0.000      13.610      85.498       0.938       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000       0.000       0.000       0.000
   366    12    31  2020       3       1  hru0003                1.496    4935.907    5697.961    7904.462      12.678      30.868       0.000      13.610       3.914      30.323       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000       0.000       0.000       0.000
   366    12    31  2020       4       1  hru0004                1.496    4949.636    5715.003    7922.783      12.678      30.839       0.000      13.610       4.107      30.156       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000       0.000       0.000       0.000
   366    12    31  2020       5       1  hru0005                1.503    5279.078    6114.055    8427.659      12.666      30.446       0.000      13.610       3.601      25.898       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000       0.000       0.000       0.000
   366    12    31  2020       6       1  hru0006                1.504    5302.492    6144.292    8462.952      12.664      30.372       0.000      13.610       3.656      25.646       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000       0.000       0.000       0.000
   366    12    31  2020       7       1  hru0007                1.451    2748.490    3183.578    4713.436      12.765      33.461       0.000      13.610      61.591      18.917       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000       0.000       0.000       0.000
   366    12    31  2020       8       1  hru0008                1.424    1463.905    1705.947    2803.961      12.812      34.292       0.000      13.610      97.794       1.203       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000       0.000       0.000       0.000
   366    12    31  2020       9       1  hru0009                1.507    5388.551    6248.796    8593.698      12.660      30.198       0.000      13.610       3.482      24.604       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000       0.000       0.000       0.000
   366    12    31  2020      10       1  hru0010                1.501    5162.918    5987.292    8249.877      12.666      30.347       0.000      13.610       3.840      27.630       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000       0.000       0.000       0.000
   366    12    31  2020      11       1  hru0011                1.517    5818.612    6799.444    9225.907      12.613      29.204       0.000      13.610       3.276      19.359       0.000       0.000       3.269       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000       0.000       0.000       0.000
   366    12    31  2020      12       1  hru0012                1.506    5302.444    6158.935    8462.891      12.658      30.050       0.000      13.610       3.626      25.980       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000       0.000       0.000       0.000
